Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Strike_Out,Runs,Earned_Run,WHIP
박상원,한화,2.96,50,4,3,0,11,45.667,41,3,15,32,17,15,1.23
조동욱,한화,3.0,40,2,0,2,3,39.0,47,2,17,22,15,13,1.64
류현진,한화,3.07,16,6,4,0,0,85.0,84,7,21,73,32,29,1.24
황준서,한화,3.15,10,1,3,0,0,34.333,23,2,16,30,14,12,1.14
와이스,한화,3.4,19,10,3,0,0,111.333,91,10,28,131,45,42,1.07
김종수,한화,3.6,40,3,5,0,3,35.0,32,2,25,32,17,14,1.63
문동주,한화,3.75,14,7,3,0,0,72.0,65,3,20,77,32,30,1.18
주현상,한화,4.55,30,3,1,1,3,27.667,36,5,7,26,14,14,1.55
정우주,한화,4.62,30,2,0,0,3,25.333,17,4,12,34,14,13,1.14
이태양,한화,5.4,11,0,1,0,0,8.333,12,0,4,5,5,5,1.92
엄상백,한화,6.33,15,1,6,0,0,64.0,81,9,29,58,46,45,1.72
권민규,한화,8.44,5,0,0,0,0,5.333,5,1,7,4,5,5,2.25
이상규,한화,10.8,3,0,1,0,0,5.0,12,0,3,2,7,6,3.0
윤산흠,한화,13.5,2,0,0,0,0,1.333,4,0,1,1,2,2,3.75
원종혁,한화,16.2,2,0,0,0,0,1.667,3,1,2,1,3,3,3.0
김승일,한화,23.63,5,0,0,0,0,2.667,3,1,3,3,7,7,2.25
박시원,LG,0.0,1,0,0,0,0,1.0,0,0,2,0,0,0,2.0
유영찬,LG,1.0,16,1,1,8,0,18.0,9,1,6,20,3,2,0.83
김강률,LG,1.46,12,1,0,1,4,12.333,7,0,8,9,2,2,1.22
이우찬,LG,1.89,23,0,1,0,0,19.0,13,0,14,20,6,4,1.42
김영우,LG,2.6,39,1,2,1,1,34.667,35,2,22,35,11,10,1.64
장현식,LG,2.67,31,0,2,9,2,30.333,34,2,9,24,10,9,1.42
임찬규,LG,2.9,18,8,3,0,0,108.667,101,6,30,73,38,35,1.21
백승현,LG,3.0,22,1,0,0,2,21.0,16,1,21,19,7,7,1.76
송승기,LG,3.39,17,8,5,0,0,93.0,81,8,38,79,36,35,1.28
김진성,LG,3.42,52,3,2,1,22,47.333,37,4,19,44,19,18,1.18
이정용,LG,3.46,13,3,1,0,5,13.0,9,1,5,6,5,5,1.08
치리노스,LG,3.65,18,7,4,0,0,106.0,104,3,25,92,44,43,1.22
손주영,LG,3.98,18,8,6,0,0,92.667,97,5,27,82,45,41,1.34
에르난데스,LG,4.26,12,4,4,0,0,57.0,46,6,18,60,28,27,1.12
이지강,LG,4.42,30,1,1,1,4,36.667,36,3,19,32,19,18,1.5
박명근,LG,4.54,38,3,4,4,10,33.667,31,4,15,27,17,17,1.37
우강훈,LG,4.66,11,0,0,0,0,9.667,12,0,6,5,5,5,1.86
김종운,LG,5.4,2,0,0,0,0,1.667,2,2,0,2,3,1,1.2
배재준,LG,5.4,11,0,0,0,1,11.667,9,1,6,13,7,7,1.29
최채흥,LG,6.23,5,0,1,0,1,13.0,17,2,6,10,9,9,1.77
코엔 윈,LG,7.04,5,1,1,0,0,23.0,28,4,4,8,19,18,1.39
성동현,LG,9.0,12,0,0,0,0,9.0,10,2,9,6,9,9,2.11
김유영,LG,12.46,6,0,0,0,0,4.333,8,0,4,5,6,6,2.77
함덕주,LG,15.0,4,0,0,0,0,3.0,2,0,5,3,5,5,2.33
정우영,LG,20.25,4,0,0,0,0,2.667,1,1,4,3,6,6,1.88
김주온,LG,27.0,1,0,1,0,0,0.333,0,0,2,1,1,1,6.0
심재민,롯데,0.0,2,1,0,0,0,1.667,2,0,0,0,0,0,1.2
이영재,롯데,0.0,1,0,0,0,0,0.0,1,1,0,0,1,1,0.0
정우준,롯데,0.0,2,0,0,0,0,1.333,2,0,0,2,0,0,1.5
홍민기,롯데,1.21,12,0,0,0,2,22.333,13,0,5,30,3,3,0.81
김원중,롯데,1.64,36,3,1,24,0,38.333,26,2,23,43,8,7,1.28
감보아,롯데,2.22,8,6,2,0,0,48.667,39,2,18,53,15,12,1.17
김강현,롯데,3.45,44,2,2,0,3,47.0,39,4,17,28,23,18,1.19
데이비슨,롯데,3.52,19,8,5,0,0,107.333,106,8,43,106,45,42,1.39
이민석,롯데,3.81,11,2,2,0,0,56.667,61,6,26,39,28,24,1.54
정철원,롯데,4.34,48,4,1,0,21,45.667,45,2,17,37,22,22,1.36
나균안,롯데,4.36,18,2,6,0,0,86.667,101,9,37,64,49,42,1.59
정현수,롯데,4.41,54,1,0,0,10,32.667,24,2,20,33,17,16,1.35
송재영,롯데,4.84,40,1,0,0,3,22.333,18,3,20,24,12,12,1.7
반즈,롯데,5.32,8,3,4,0,0,45.667,47,4,17,38,31,27,1.4
박세웅,롯데,5.38,17,9,6,0,0,95.333,108,12,40,96,62,57,1.55
최준용,롯데,5.72,26,1,3,1,9,28.333,25,2,8,34,20,18,1.16
박진,롯데,5.79,27,1,1,1,3,37.333,49,6,11,20,25,24,1.61
한현희,롯데,6.23,3,0,0,0,1,8.667,13,2,2,8,6,6,1.73
김상수,롯데,6.56,44,0,1,2,3,35.667,47,4,18,27,26,26,1.82
박시영,롯데,9.95,10,1,0,0,0,6.333,7,0,8,8,7,7,2.37
김진욱,롯데,10.0,13,1,3,0,0,27.0,42,10,15,24,31,30,2.11
구승민,롯데,10.5,9,0,1,0,1,6.0,7,1,4,8,8,7,1.83
박준우,롯데,12.71,7,1,2,0,1,5.667,12,0,3,4,8,8,2.65
박세현,롯데,14.73,3,0,0,0,0,3.667,8,1,1,4,6,6,2.45
박진형,롯데,16.88,4,0,0,0,0,2.667,6,1,3,3,5,5,3.38
윤성빈,롯데,22.09,5,1,1,0,0,3.667,5,0,7,5,9,9,3.27
김민재,KIA,0.0,1,0,0,0,0,2.0,2,0,0,1,0,0,1.0
성영탁,KIA,0.66,22,1,0,0,1,27.333,17,1,8,12,4,2,0.91
김태형,KIA,2.08,3,0,0,0,0,4.333,3,0,3,1,1,1,1.38
네일,KIA,2.39,18,5,2,0,0,109.333,86,4,26,99,31,29,1.02
김현수,KIA,2.61,10,0,0,0,0,10.333,10,2,9,10,3,3,1.84
이호민,KIA,2.61,9,1,0,0,0,10.333,8,0,7,3,3,3,1.45
